1,0,caryellow,b' \n\n'
2,0,carblue,b' \n\n'
3,0,cargreen,b' \n\n'
4,0,truckgreen,b' \n\n'
5,0,truckgreen,b' \n\n'
6,0,motorcyclegreen,b' \n\n'
7,1,truckgreen,b' \n\n'
8,7,busgreen,b' \n\n'
9,12,carred,b' \n\n'
10,12,carred,b' \n\n'
11,14,carred,b' \n\n'
12,19,motorcycleyellow,b' \n\n'
13,29,carred,b' \n\n'
14,38,truckgreen,b' \n\n'
15,39,motorcycleyellow,b' \n\n'
16,39,carorange,b' \n\n'
17,40,busgreen,b' \n\n'
18,41,motorcyclewhite,b' \n\n'
19,44,motorcyclewhite,b' \n\n'
20,45,carorange,b' \n\n'
21,50,motorcyclegreen,b''
22,52,cargreen,b' \n\n'
23,55,motorcyclewhite,b'\xe2\x80\x99? \n\n'
24,56,cargreen,b'\xe2\x80\x99? \n\n'
25,59,carblue,b'\xe2\x80\x99? \n\n'
26,61,truckgreen,b'\xe2\x80\x99? \n\n'
27,65,motorcycleyellow,b'\xe2\x80\x99? \n\n'
28,73,carblue,b''
29,75,motorcyclegreen,b' \n\n'
30,78,carorange,b' \n\n'
31,79,carwhite,b' \n\n'
32,83,carorange,b' \n\n'
33,85,truckgreen,b' \n\n'
34,86,carorange,b' \n\n'
35,88,truckgreen,b''
36,90,truckgreen,b''
37,92,truckgreen,b''
38,94,truckorange,b''
39,95,busgreen,b''
40,95,busgreen,b''
41,101,truckyellow,b''
42,104,caryellow,b''
43,122,caryellow,b''
44,125,caryellow,b''
45,129,cargreen,b''
46,130,caryellow,b''
47,134,truckgreen,b''
48,138,truckgreen,b''
49,140,truckgreen,b''
50,141,truckblue,b''
51,147,cargreen,b''
52,148,truckblue,b''
53,150,caryellow,b' \n\n'
54,150,truckyellow,b' \n\n'
55,153,truckblue,b' \n\n'
56,153,motorcyclewhite,b' \n\n'
57,155,carred,b' \n\n'
58,155,carblue,b' \n\n'
59,156,cargreen,b' \n\n'
60,164,truckgreen,b' \n\n'
61,166,truckyellow,b'   \n\n'
62,167,motorcyclewhite,b' \n\n'
63,167,truckgreen,b' \n\n'
64,170,busyellow,b' \n\n'
65,171,cargreen,b' \n\n'
66,172,truckyellow,b' \n\n'
67,178,busred,b' \n\n'
68,179,carwhite,b' \n\n'
69,194,truckwhite,b''
70,196,carred,b''
71,197,truckgreen,b''
72,200,carwhite,b' \n\n'
73,202,busyellow,b' \n\n'
74,207,motorcyclegreen,"b'_""\xe2\x80\x981!!"":\xe2\x80\x98"" \n\n'"
75,207,busred,"b'_""\xe2\x80\x981!!"":\xe2\x80\x98"" \n\n'"
76,209,carred,b''
77,211,motorcyclegreen,b''
78,218,motorcyclered,b' \n\n'
79,222,motorcyclegreen,b' \n\n'
80,224,motorcyclegreen,b' \n\n'
81,225,carwhite,b' \n\n'
82,230,truckgreen,b' \n\n'
83,231,carwhite,b' \n\n'
84,237,motorcyclewhite,b' \n\n'
85,251,motorcyclewhite,b''
86,252,truckgreen,b''
87,258,truckgreen,b''
88,260,cargreen,b''
89,263,truckgreen,b''
90,265,truckgreen,b''
91,283,motorcyclered,b' \n\n'
92,284,truckyellow,b' \n\n'
93,287,caryellow,b' \n\n'
94,293,carblue,b' \n\n'
95,297,carwhite,b' \n\n'
96,298,truckyellow,b' \n\n'
97,307,motorcyclegreen,"b'\xe2\x80\x98T\xe2\x80\x99? ""T\' \n\n'"
98,311,motorcyclegreen,"b'\xe2\x80\x98T\xe2\x80\x99? ""T\' \n\n'"
99,318,busgreen,"b""' \n\n"""
100,320,motorcyclewhite,"b""' \n\n"""
101,321,buswhite,"b""' \n\n"""
102,325,buswhite,b''
103,329,carwhite,"b""\xe2\x80\x98:?L\xe2\x80\x9c',' \n\n"""
104,331,carwhite,"b'\xe2\x80\x98 ,\xe2\x80\x98;?j""F\n\n'"
105,334,carwhite,"b'\xe2\x80\x98 ,\xe2\x80\x98;?j""F\n\n'"
106,335,motorcyclegreen,"b'\xe2\x80\x98 ,\xe2\x80\x98;?j""F\n\n'"
107,336,carwhite,"b'\xe2\x80\x98 ,\xe2\x80\x98;?j""F\n\n'"
108,338,buswhite,"b'\xe2\x80\x98 ,\xe2\x80\x98;?j""F\n\n'"
109,339,caryellow,"b'\xe2\x80\x98 ,""?;\xe2\x80\x9d\xe2\x80\x94\xe2\x80\x9c\',\'\n\n'"
110,341,cargreen,"b'\xe2\x80\x98 ,""?i\xe2\x80\x94\xe2\x80\x9c\',\'\n\n'"
111,348,carwhite,b''
112,351,truckorange,b' \n\n'
113,355,carwhite,b' \n\n'
114,356,carwhite,b' \n\n'
115,360,carwhite,b' \n\n'
116,361,carwhite,b' \n\n'
117,364,carwhite,b' \n\n'
118,401,buswhite,b' \n\n'
119,408,truckwhite,b' \n\n'
120,411,motorcyclewhite,b''
121,414,motorcyclegreen,b''
122,419,truckyellow,b''
123,423,truckyellow,b''
124,437,truckred,b' \n\n'
125,438,motorcycleblue,b' \n\n'
126,440,motorcyclewhite,b' \n\n'
127,442,truckwhite,b' \n\n'
128,445,carred,b' \n\n'
129,446,motorcyclegreen,b' \n\n'
130,448,carred,b' \n\n'
131,448,motorcycleblue,b' \n\n'
132,450,caryellow,b' \n\n'
133,450,busgreen,b' \n\n'
134,451,motorcycleblue,b' \n\n'
135,453,caryellow,b' \n\n'
136,455,motorcyclegreen,b' \n\n'
137,456,caryellow,b' \n\n'
138,467,motorcyclewhite,b''
139,469,motorcyclewhite,b''
140,470,busgreen,b''
141,471,truckwhite,b''
142,478,motorcyclewhite,b''
143,482,motorcyclewhite,b''
144,486,motorcyclewhite,b''
145,486,truckgreen,b''
146,489,motorcyclegreen,b''
147,490,truckgreen,b''
148,492,motorcyclegreen,b''
149,492,motorcyclegreen,b''
150,492,truckgreen,b''
151,494,truckgreen,b''
152,499,motorcycleblue,b' \n\n'
153,501,truckwhite,b' \n\n'
154,512,motorcyclegreen,b' \n\n'
155,519,truckorange,b' \n\n'
156,545,caryellow,b' \n\n'
157,551,truckgreen,b''
158,552,carwhite,b''
159,555,truckred,b' \n\n'
160,562,carwhite,b' \n\n'
161,562,truckwhite,b' \n\n'
162,566,caryellow,b' \n\n'
163,570,cargreen,b' \n\n'
164,570,carwhite,b' \n\n'
165,572,carwhite,b' \n\n'
166,575,truckwhite,b' \n\n'
167,577,truckwhite,b' \n\n'
168,577,carred,b' \n\n'
169,578,caryellow,b' \n\n'
170,579,carred,b' \n\n'
171,581,carwhite,b' \n\n'
172,583,carred,b''
173,586,carwhite,b''
174,590,truckred,b''
175,594,truckorange,b''
176,598,carred,b''
177,601,busgreen,b' \n\n'
178,603,truckgreen,b' \n\n'
179,603,truckyellow,b' \n\n'
180,607,truckyellow,b''
181,609,motorcyclegreen,b''
182,611,truckred,b''
183,611,truckorange,b''
184,614,motorcyclegreen,b''
185,615,carred,b''
186,616,busyellow,b''
187,617,truckyellow,b''
188,617,truckred,b''
189,617,motorcycleorange,b''
190,619,carred,b''
191,623,carred,b''
192,624,motorcycleblue,b''
193,625,truckyellow,b''
194,626,truckorange,b''
195,627,truckred,b''
196,630,truckwhite,b''
197,630,carred,b''
198,631,motorcyclegreen,b''
199,631,motorcyclewhite,b''
200,632,busyellow,b''
201,634,truckwhite,b''
202,639,truckwhite,b''
203,642,truckwhite,"b'_\\\xe2\x80\x98|\xe2\x80\x9d*_""\xe2\x80\x9c\' % .\n\n'"
