,file,type,color,frame_num
0,0_0.jpg,motorcycle,red,0
1,0_1.jpg,motorcycle,red,0
2,0_2.jpg,car,red,0
3,0_3.jpg,motorcycle,red,0
4,0_5.jpg,car,red,0
5,0_6.jpg,truck,red,0
6,0_7.jpg,truck,red,0
7,0_8.jpg,motorcycle,red,0
8,0_10.jpg,motorcycle,red,0
9,0_11.jpg,motorcycle,red,0
10,0_13.jpg,motorcycle,red,0
11,0_16.jpg,motorcycle,red,0
12,0_17.jpg,motorcycle,red,0
13,0_18.jpg,motorcycle,red,0
14,0_20.jpg,car,red,0
15,0_21.jpg,car,red,0
16,0_22.jpg,motorcycle,red,0
17,0_23.jpg,motorcycle,red,0
18,0_24.jpg,car,red,0
19,0_26.jpg,car,red,0
20,100_0.jpg,motorcycle,red,100
21,100_1.jpg,motorcycle,red,100
22,100_2.jpg,motorcycle,red,100
23,100_3.jpg,truck,red,100
24,100_4.jpg,truck,red,100
25,100_5.jpg,motorcycle,red,100
26,100_7.jpg,motorcycle,red,100
27,100_9.jpg,motorcycle,red,100
28,100_10.jpg,motorcycle,red,100
29,100_12.jpg,motorcycle,red,100
30,100_15.jpg,motorcycle,red,100
31,100_16.jpg,car,red,100
32,100_19.jpg,motorcycle,red,100
33,200_0.jpg,motorcycle,red,200
34,200_1.jpg,motorcycle,red,200
35,200_2.jpg,car,red,200
36,200_3.jpg,motorcycle,red,200
37,200_4.jpg,truck,red,200
38,200_5.jpg,truck,red,200
39,200_6.jpg,motorcycle,red,200
40,200_9.jpg,car,red,200
41,200_10.jpg,motorcycle,red,200
42,200_11.jpg,motorcycle,red,200
43,200_12.jpg,motorcycle,red,200
44,200_13.jpg,motorcycle,red,200
45,200_15.jpg,truck,red,200
46,200_18.jpg,motorcycle,red,200
47,200_19.jpg,car,red,200
48,200_21.jpg,car,red,200
49,200_22.jpg,motorcycle,red,200
50,200_23.jpg,motorcycle,red,200
51,300_0.jpg,motorcycle,red,300
52,300_1.jpg,motorcycle,red,300
53,300_2.jpg,motorcycle,red,300
54,300_3.jpg,bus,red,300
55,300_4.jpg,motorcycle,red,300
56,300_5.jpg,car,red,300
57,300_6.jpg,motorcycle,red,300
58,300_7.jpg,truck,red,300
59,300_8.jpg,motorcycle,red,300
60,300_9.jpg,car,red,300
61,300_10.jpg,truck,red,300
62,300_11.jpg,motorcycle,red,300
63,300_13.jpg,car,red,300
64,300_17.jpg,motorcycle,red,300
65,300_20.jpg,car,red,300
66,400_0.jpg,motorcycle,red,400
67,400_1.jpg,motorcycle,red,400
68,400_2.jpg,bus,red,400
69,400_4.jpg,motorcycle,red,400
70,400_6.jpg,motorcycle,red,400
71,400_8.jpg,motorcycle,red,400
72,400_9.jpg,truck,red,400
73,400_10.jpg,motorcycle,red,400
74,500_0.jpg,motorcycle,red,500
75,500_2.jpg,motorcycle,red,500
76,500_4.jpg,bus,red,500
77,500_5.jpg,motorcycle,red,500
78,500_6.jpg,motorcycle,red,500
79,500_7.jpg,motorcycle,red,500
80,500_8.jpg,truck,red,500
81,500_10.jpg,motorcycle,red,500
82,500_11.jpg,motorcycle,red,500
83,500_12.jpg,truck,red,500
84,500_13.jpg,motorcycle,red,500
85,500_16.jpg,truck,red,500
86,600_0.jpg,motorcycle,red,600
87,600_1.jpg,bus,red,600
88,600_2.jpg,motorcycle,red,600
89,600_3.jpg,bus,red,600
